name,year,count
Ruby,2011,965
JavaScript,2011,694
Python,2011,619
PHP,2011,560
Java,2011,420
C++,2011,339
C,2011,163
C#,2011,159
Ruby,2011,4361
JavaScript,2011,4003
Python,2011,3145
PHP,2011,2841
C++,2011,1941
Java,2011,1808
C,2011,1113
C#,2011,729
Objective-C,2011,496
Shell,2011,306
Scala,2011,305
HTML,2011,255
Haskell,2011,169
Factor,2011,125
CSS,2011,120
Clojure,2011,114
Erlang,2011,111
Rust,2011,107
ActionScript,2011,106
JavaScript,2012,8910
Ruby,2012,7317
Python,2012,6774
PHP,2012,4858
Java,2012,4429
C++,2012,3421
C,2012,1544
C#,2012,1305
Objective-C,2012,1111
CoffeeScript,2012,483
Scala,2012,446
HTML,2012,370
Shell,2012,349
Haskell,2012,310
CSS,2012,265
Erlang,2012,199
Emacs Lisp,2012,170
Clojure,2012,142
TypeScript,2012,138
ActionScript,2012,129
XSLT,2012,122
Go,2012,111
JavaScript,2012,26724
Python,2012,19908
Ruby,2012,18591
Java,2012,13462
PHP,2012,12853
C++,2012,9933
C,2012,4163
Objective-C,2012,3181
C#,2012,3095
Scala,2012,1463
Shell,2012,1430
HTML,2012,1288
CSS,2012,1011
CoffeeScript,2012,874
Haskell,2012,802
Erlang,2012,586
Perl,2012,504
Emacs Lisp,2012,474
Go,2012,426
Clojure,2012,404
ActionScript,2012,390
Groovy,2012,362
ColdFusion,2012,303
Lua,2012,290
XSLT,2012,277
TypeScript,2012,248
Elixir,2012,211
Smalltalk,2012,210
Objective-J,2012,202
Vim script,2012,163
LiveScript,2012,142
D,2012,130
Common Lisp,2012,124
Factor,2012,120
Haxe,2012,116
Kotlin,2012,107
Brightscript,2012,106
AGS Script,2012,106
JavaScript,2012,31557
Python,2012,21936
Ruby,2012,18847
PHP,2012,16507
Java,2012,14231
C++,2012,10033
C,2012,4556
Objective-C,2012,3897
C#,2012,3685
HTML,2012,2406
Shell,2012,2176
CoffeeScript,2012,1582
AutoHotkey,2012,1515
CSS,2012,1287
Scala,2012,1204
Go,2012,1177
Haskell,2012,888
Emacs Lisp,2012,657
Clojure,2012,585
Erlang,2012,530
Jupyter Notebook,2012,527
Lua,2012,497
Perl,2012,414
Groovy,2012,404
Factor,2012,290
Objective-J,2012,268
TypeScript,2012,265
ActionScript,2012,256
